date | value
2008-01-03 | 3
2011-01-03|1
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
1999-01-01 | 5
2009-01-01 | 5
2009-01-02 | 5
2009-01-03 | 5
2009-42-03 | 5
2009-01-03 | 5
2010-01-03 | 5
2011-01-03 | 5
2012-01-03 | 5
2013-01-03 | 5



    2014-01-03 | 5    
2015-01-03 | 5
2016-01-03 | 5
2017-01-03 | 5
2018-01-03 | 5
2019-01-03 | 5
2020-01-03 | 5
2021-01-03 | 5
2022-01-03 | 5
2023-01-03 | 5
2024-01-03 | 5
2025-01-03 | 5
2026-01-03 | 5
2042-01-03 | 5
2242-01-03 | 5
2542-01-03 | 5
2942-01-03 | 5
2942-01-03 |5
2942-01-03 + 5
2010-01-03 | 
2010-01-03 | 2032947539876903170940850389
2024-01-03 | 20
